Left Hand Side,Right Hand Side,Support,Confidence,Lift,Support_abs
Art.172 - Comedouro Universal c/ Grelha,Art.25/G - Comedouro Universal c/Grelha,0.0008754533597755981,0.2076271186440678,32.01404258299482,49
Pet Cup - Mistura Periquitos Classic (20kg),Pet Cup - Mistura Psitacideos Classic (20Kg),0.0010541173107502099,0.2532188841201717,31.99303422819442,59
Pet Cup - Mistura Agapornis Classic (20kg),Pet Cup - Mistura Periquitos Classic (20kg),0.0005002590627289132,0.12669683257918551,30.434971743732156,28
Pet Cup - Mistura Canarios Standard 4kg,Pet Cup - Alpista Simples 4kg,0.0006431902235086027,0.20454545454545456,29.58298097251586,36
Pet Cup - Mistura Papagaios Standard » 15kg,Pet Cup - Mistura Psitacideos Classic (20Kg),0.0012506476568222829,0.22082018927444794,27.89960906067748,70
Agrafe A16 reforçado 16mm (Cx +-1000),"Mola Galv.60mm,fecho de Gaiolas",0.0007325221989959086,0.15830115830115832,27.86249726815765,41
Canhamo p/Aves » 600Gr.,Niger » 700Gr.,0.0012863804470172053,0.1925133689839572,27.842805621191392,72
Opti-Breed (500gr.),Calci-Lux » 500Gr.,0.0007861213842882921,0.27848101265822783,27.441656266714208,44
Art. 142 - Pinça Universal,Art. 33 - Porta Osso de Choco c/Poleiro,0.0007325221989959086,0.12933753943217666,26.134120648225128,41
Art.432 - Ninho p/ Exóticos,Fibras de Coco para Ninhos » +/- 250Gr.,0.0007503885940933698,0.12844036697247707,25.402599928680264,42
Semente Linhaça Dourada Balde (2kg),Niger » 700Gr.,0.0005895910382162191,0.17553191489361702,25.38681345868382,33
Pet Cup - Papagaios Amazonas Premium (15kg),Pet Cup - Mistura Papagaios Standard » 15kg,0.0005359918529238356,0.14285714285714285,25.223524109959442,30
Omni-Vit » 200Gr.,Calci-Lux » 500Gr.,0.0008397205695806757,0.24607329842931938,24.248184130963793,47
Opti-Breed (500gr.),Ferti-Vit » 200Gr,0.0005359918529238356,0.189873417721519,23.935596989394462,30
Art.94/A - Comedouro Papa Lux Alto,Art. 94 - Comedouro papa lusso,0.0006610566186060639,0.19270833333333334,23.75788133259912,37
Colina Ca/P » 100ml,Vita B Complexo » 100ml,0.0005895910382162191,0.14224137931034483,23.554414915323406,33
Pet Cup - Papagaios Amazonas Premium (15kg),Pet Cup - Mistura Papagaios Premium (20kg),0.0006253238284111414,0.16666666666666666,23.26309226932668,35
Niger » 700Gr.,Perilha Branca » 3kg,0.0017509067195511962,0.2532299741602067,23.046398184912082,98
Omni-Vit » 200Gr.,Ferti-Vit » 200Gr,0.0006074574333136803,0.1780104712041885,22.440144332814494,34
Ovos Falsos Canários (cx 10Unid.),Porta Verduras/Fibras Plástico,0.0007682549891908309,0.12427745664739884,22.43849524519858,43
Manitoba - Pintassilgo Carduelidi 2.5kg (2.5kg),Papa Húmida TH INDIOS (1.5Kg),0.0005538582480212967,0.1557788944723618,22.07367215825965,31
Canto Alegre - Perilha (800Gr),Niger » 700Gr.,0.0005181254578263744,0.14720812182741116,21.29040254987605,29
Pet Cup - Mistura Araras Premium (12kg),Pet Cup - Mistura Papagaios Premium (20kg),0.0006074574333136803,0.15246636771300448,21.281035080460285,34
Comedouro Cristal c/Cúpula,Art.158 - Bebedouro Curto Lusso - 80cc (Azul),0.0005717246431187579,0.12648221343873517,21.06945228684359,32
Semente Linhaça Dourada Balde (2kg),Aveia Descascada » 4kg,0.0007503885940933698,0.22340425531914895,20.56605193169093,42
Orniluck Chia - 1kg,Perilha Branca » 3kg,0.0005359918529238356,0.22222222222222224,20.22439024390244,30
Agrafe A16 reforçado 16mm (Cx +-1000),"Mola INOX 60mm, fecho de Gaiolas",0.0006074574333136803,0.1312741312741313,20.020556952437065,34
Calci-Lux » 500Gr.,Ferti-Vit » 200Gr,0.0015543763734791232,0.15316901408450703,19.30861010658546,87
Libra - Dog Adult Frango » 14kg,NutriBird P15 Original - Manutenção » 10kg,0.0005717246431187579,0.25806451612903225,18.447163515016687,32
Pet Cup - Mistura Araras Premium (12kg),NutriBird P19 Original - Cria (10kg),0.0005181254578263744,0.13004484304932734,18.380656339176518,29
Easyyem - Papa Amarela Canários Porte (5kg),Pet Cup - Mistura Canários Mosaico Premium (20kg),0.0011791820764324383,0.27385892116182575,18.3132110828537,66
Pet Cup - Mistura Periquitos Standard » 20kg,Pet Cup - Mistura Psitacideos Classic (20Kg),0.0006074574333136803,0.14166666666666666,17.89892776523702,34
Art.59 - Ninho Externo Lusso (Branco),Ovos Falsos Canários (cx 10Unid.),0.0006431902235086027,0.11009174311926605,17.80908946279896,36
Pet Cup - Mistura Papagaios Standard » 15kg,Pet Cup - Mistura Papagaios Premium (20kg),0.0007146558038984474,0.12618296529968454,17.61243578750285,40
Comedouro Cristal c/Cúpula,Art.128 - Bebedouro Longo Lusso - 110ml (Azul),0.0006431902235086027,0.1422924901185771,17.42724937511352,36
Art. 60/A - Bebedouro Lucca com anel - 400cc (Azul),Art.134 - Bebedouro Sifone Firenze - 200ml (Azul),0.0008754533597755981,0.14984709480122324,17.328701948593526,49
Canhamo p/Aves » 600Gr.,Perilha Branca » 3kg,0.0012506476568222829,0.1871657754010695,17.033911569062212,70
Canhamo p/Aves 3kg,Aveia Descascada » 4kg,0.0010005181254578264,0.18481848184818483,17.013939551849923,56
Semente Linhaça Dourada Balde (2kg),Perilha Branca » 3kg,0.0006253238284111414,0.18617021276595744,16.94330565646082,35
Art. 60/A - Bebedouro Lucca com anel - 400cc (Azul),Art.25/G - Comedouro Universal c/Grelha,0.0006074574333136803,0.10397553516819572,16.031996360603532,34
Libra - Dog Adult Cordeiro » 14kg,NutriBird P15 Original - Manutenção » 10kg,0.0005538582480212967,0.22142857142857142,15.828325123152709,31
Art.158 - Bebedouro Curto Lusso - 80cc (Azul),Art. 94 - Comedouro papa lusso,0.0007503885940933698,0.125,15.410517621145376,42
Rolo Papel Absorvente Impermeável p/ Viveiro » 100x0.37Mt,Pet Cup - Mistura Canários Mosaico Premium (20kg),0.0009111861499705204,0.2286995515695067,15.293360335599592,51
